Product_ID,Product_Name,Brand,Price,Rating,Availability,Scrape_Date,Scrape_Time,Product_URL
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",,699.0,4.0,In Stock,2026-09-21,11:47:58,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",,1499.0,3.9,Out of Stock,2026-09-21,11:48:13,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",,699.0,4.0,In Stock,2026-09-21,12:06:49,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",,1499.0,3.9,Out of Stock,2026-09-21,12:07:06,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",,699.0,4.0,In Stock,2026-09-21,12:41:32,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",,1499.0,3.9,Out of Stock,2026-09-21,12:41:50,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",,699.0,4.0,In Stock,2026-09-21,12:46:42,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",Mivi,1499.0,3.9,Out of Stock,2026-09-21,12:47:03,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",TRIGGR,699.0,4.0,In Stock,2026-09-21,12:47:48,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",Mivi,1499.0,3.9,Out of Stock,2026-09-21,12:48:05,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",TRIGGR,699.0,4.0,In Stock,2026-09-21,12:59:17,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",Mivi,1499.0,3.9,Out of Stock,2026-09-21,12:59:38,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",TRIGGR,699.0,4.0,In Stock,2026-09-21,13:09:26,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",Mivi,1499.0,3.9,Out of Stock,2026-09-21,13:09:49,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",,699.0,4.0,In Stock,2026-09-21,14:33:10,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",,1499.0,3.9,Out of Stock,2026-09-21,14:33:32,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",,699.0,4.0,In Stock,2026-09-21,15:00:30,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",,1499.0,3.9,Out of Stock,2026-09-21,15:00:43,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",TRIGGR,699.0,4.0,In Stock,2026-09-21,15:04:36,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",Mivi,1499.0,3.9,Out of Stock,2026-09-21,15:04:54,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",TRIGGR,699.0,4.0,In Stock,2026-09-21,15:30:42,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",Mivi,1499.0,3.9,Out of Stock,2026-09-21,15:30:59,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
P001,"TRIGGR Ultrabuds N5 with Latest BT v6.0, 40Hr Playtime, 13mm Dyna...more",TRIGGR,749.0,4,In Stock,2026-09-22,12:56:40,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,"Mivi DuoPods Solo TWS New Launch, 35dB ANC, 60H, Rich Bass, 50ms ...more",Mivi,1499.0,3.9,Out of Stock,2026-09-22,12:57:05,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
